Site,DT,type,degree,species.strength,closeness,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
SAP,X2,Hole Feeding,1,0.272727273,0.035714286,0,1,0.559029352,0.268292683,0.501170833
SAP,X8,Hole Feeding,1,0.033333333,0.049450549,0,1,0.559029352,0.731707317,0
SAP,X10,Hole Feeding,1,0.090909091,0.035714286,0,1,0.559029352,0.268292683,0.29498497
SAP,X12,Margin Feeding,2,0.415151515,0.054945055,0.529706199,1.698433234,0.94947403,0.953929539,0
SAP,X13,Margin Feeding,1,0.1,0.049450549,0,1,0.559029352,0.731707317,0.115976567
SAP,X14,Margin Feeding,1,0.033333333,0.049450549,0,1,0.559029352,0.731707317,0
SAP,X30,Surface Feeding,1,0.033333333,0.049450549,0,1,0.559029352,0.731707317,0
SAP,X31,Surface Feeding,1,0.033333333,0.049450549,0,1,0.559029352,0.731707317,0
SAP,X33,Galling,1,0.090909091,0.035714286,0,1,0.559029352,0.268292683,0.29498497
SAP,X34,Galling,2,0.281818182,0.054945055,0.673011667,1.960131704,1.095771156,0.868292683,0.013411981
SAP,X46,Piercing and Sucking,2,0.124242424,0.054945055,0.693147181,2,1.118058703,0.768292683,0
SAP,X48,Piercing and Sucking,1,0.066666667,0.049450549,0,1,0.559029352,0.731707317,0.066043479
SAP,X62,Galling,1,0.033333333,0.049450549,0,1,0.559029352,0.731707317,0
SAP,X101,Oviposition,1,0.066666667,0.049450549,0,1,0.559029352,0.731707317,0.066043479
SAP,X130,Surface Feeding,1,0.033333333,0.049450549,0,1,0.559029352,0.731707317,0
SAP,X137,Oviposition,1,0.033333333,0.049450549,0,1,0.559029352,0.731707317,0
SAP,X138,Piercing and Sucking,1,0.033333333,0.049450549,0,1,0.559029352,0.731707317,0
SAP,X143,Margin Feeding,1,0.066666667,0.049450549,0,1,0.559029352,0.731707317,0.066043479
SAP,X147,Galling,1,0.033333333,0.049450549,0,1,0.559029352,0.731707317,0
SAP,X175,Oviposition,1,0.090909091,0.035714286,0,1,0.559029352,0.268292683,0.29498497
SAP,X203,Surface Feeding,1,0.033333333,0.049450549,0,1,0.559029352,0.731707317,0
MCF,X12,Margin Feeding,2,0.378787879,0.064,0.376770161,1.457569265,0.853229571,0.95,0
MCF,X13,Margin Feeding,1,0.03030303,0.06,0,1,0.585378405,0.825,0
MCF,X29,Surface Feeding,1,0.166666667,0.042,0,1,0.585378405,0.15,0.487557388
MCF,X31,Surface Feeding,1,0.03030303,0.06,0,1,0.585378405,0.825,0
MCF,X32,Galling,1,0.060606061,0.06,0,1,0.585378405,0.825,0
MCF,X46,Piercing and Sucking,2,0.196969697,0.064,0.693147181,2,1.170756809,0.65,0.056798572
MCF,X48,Piercing and Sucking,1,0.060606061,0.06,0,1,0.585378405,0.825,0
MCF,X76,Oviposition,1,0.060606061,0.06,0,1,0.585378405,0.825,0
MCF,X80,Galling,2,0.318181818,0.064,0.450561209,1.569192583,0.918571451,0.975,0
MCF,X100,Oviposition,1,0.03030303,0.06,0,1,0.585378405,0.825,0
MCF,X101,Oviposition,2,1.060606061,0.06,0.636514168,1.889881575,1.106295861,0.691666667,0.242179395
MCF,X143,Margin Feeding,2,0.196969697,0.064,0.693147181,2,1.170756809,0.65,0.056798572
MCF,X246,Oviposition,1,0.03030303,0.06,0,1,0.585378405,0.825,0
MCF,X247,Galling,1,0.03030303,0.06,0,1,0.585378405,0.825,0
MCF,X265,Galling,1,0.03030303,0.06,0,1,0.585378405,0.825,0
MCF,X266,Galling,1,0.151515152,0.06,0,1,0.585378405,0.825,0.077914027
MCF,X267,Galling,1,0.166666667,0.042,0,1,0.585378405,0.15,0.487557388
CCP,X1,Hole Feeding,2,0.068149718,0.021590311,0.693147181,2,0.882586142,0.45269742,0.252138084
CCP,X2,Hole Feeding,3,0.044535243,0.02317009,0.830523691,2.294520046,1.012555798,0.8973319,0.00387604
CCP,X3,Hole Feeding,3,0.073344767,0.02317009,0.936888308,2.552027924,1.12619224,0.563808531,0.137061235
CCP,X4,Hole Feeding,3,0.024145144,0.02317009,1.098612289,3,1.323879213,0.704195986,0.071903268
CCP,X5,Hole Feeding,1,0.001428571,0.020537125,0,1,0.441293071,0.54730258,0
CCP,X7,Hole Feeding,2,0.017923056,0.022906793,0.500402424,1.649384888,0.727862123,0.6151681,0.059311424
CCP,X12,Margin Feeding,3,0.139410143,0.02317009,0.720263249,2.054974109,0.906845836,0.786596672,0.03238584
CCP,X13,Margin Feeding,1,0.003766478,0.021063718,0,1,0.441293071,0.4151681,0.129629901
CCP,X14,Margin Feeding,2,0.040521926,0.022906793,0.304636097,1.356131413,0.598451396,0.506077191,0.135029536
CCP,X15,Margin Feeding,3,0.123631289,0.02317009,0.543498386,1.72202063,0.759915772,0.604823272,0.106433835
CCP,X25,Surface Feeding,1,0.001883239,0.021063718,0,1,0.441293071,0.4151681,0.042179045
CCP,X27,Surface Feeding,1,0.020833333,0.017640864,0,1,0.441293071,0.03752932,0.40907441
CCP,X29,Surface Feeding,3,0.114515066,0.02317009,0.926146809,2.524762021,1.114159986,0.864462126,0.013827045
CCP,X30,Surface Feeding,3,0.057251816,0.02317009,0.994923633,2.704517796,1.193484964,0.725424693,0.045583384
CCP,X31,Surface Feeding,3,0.032716573,0.02317009,0.683738906,1.981271689,0.874321468,0.695943011,0.042472661
CCP,X32,Galling,3,0.244017353,0.02317009,0.863525603,2.371506965,1.046529591,0.841974757,0.026812291
CCP,X33,Galling,2,0.024599812,0.021590311,0.636514168,1.889881575,0.833991644,0.45269742,0.164318754
CCP,X34,Galling,3,0.030314097,0.02317009,0.955699891,2.600490006,1.147578221,0.870546186,0.013651599
CCP,X46,Piercing and Sucking,2,0.120330912,0.022906793,0.562335145,1.754765351,0.774365791,0.6651681,0.084221955
CCP,X47,Piercing and Sucking,2,0.021234867,0.022906793,0.562335145,1.754765351,0.774365791,0.6651681,0.048400435
CCP,X48,Piercing and Sucking,3,0.027456955,0.02317009,1.054920168,2.871745887,1.267281562,0.83752932,0.027991246
CCP,X54,Oviposition,2,0.012728006,0.022906793,0.410116318,1.506993066,0.665025598,0.558025243,0.075675037
CCP,X58,Pathogen/Environment,1,0.007142857,0.020537125,0,1,0.441293071,0.54730258,0.102193203
CCP,X76,Oviposition,3,0.364382567,0.02317009,0.786597506,2.195912123,0.969040805,0.932409479,0.005544063
CCP,X77,Piercing and Sucking,3,0.036418483,0.02317009,0.897945725,2.454555596,1.083178377,0.75269742,0.020914079
CCP,X80,Galling,3,0.100575061,0.02317009,0.623611575,1.865653837,0.823300111,0.792585599,0.028982724
CCP,X97,Surface Feeding,1,0.001883239,0.021063718,0,1,0.441293071,0.4151681,0.042179045
CCP,X100,Oviposition,2,0.015649718,0.022906793,0.610864302,1.842022775,0.812871887,0.84730258,0.007658801
CCP,X101,Oviposition,3,0.310936239,0.02317009,0.726348936,2.06751817,0.912381443,0.876161641,0.014740312
CCP,X103,Surface Feeding,2,0.037782486,0.021590311,0.325082973,1.384145488,0.610813813,0.45269742,0.157152082
CCP,X108,Oviposition,1,0.001428571,0.020537125,0,1,0.441293071,0.54730258,0
CCP,X120,Galling,3,0.300900592,0.02317009,0.356101654,1.427752678,0.630057364,0.652014622,0.15153548
CCP,X122,Galling,1,0.003766478,0.021063718,0,1,0.441293071,0.4151681,0.129629901
CCP,X130,Surface Feeding,1,0.001428571,0.020537125,0,1,0.441293071,0.54730258,0
CCP,X138,Piercing and Sucking,1,0.011299435,0.021063718,0,1,0.441293071,0.4151681,0.15642793
CCP,X157,Piercing and Sucking,2,0.006168953,0.022906793,0.562335145,1.754765351,0.774365791,0.79730258,0.010792814
CCP,X175,Oviposition,2,0.022261905,0.021590311,0.693147181,2,0.882586142,0.53752932,0.187399856
CCP,X183,Piercing and Sucking,2,0.02740382,0.022906793,0.661563238,1.937819241,0.855146204,0.7901681,0.023961827
CCP,X245,Oviposition,3,0.10399583,0.02317009,0.766352118,2.151902034,0.949619457,0.606543574,0.089174156
CCP,X246,Oviposition,3,0.185180253,0.02317009,0.702658693,2.019113781,0.891020921,0.72469191,0.056792861
CCP,X247,Galling,3,0.08769505,0.02317009,0.730588061,2.076301241,0.916257351,0.6848319,0.07209383
CCP,X259,Galling,1,0.005714286,0.020537125,0,1,0.441293071,0.54730258,0.097029712
CCP,X260,Galling,1,0.098571429,0.020537125,0,1,0.441293071,0.54730258,0.206287937
CCP,X262,Galling,2,0.019026096,0.022906793,0.271189373,1.311523414,0.578766195,0.624225657,0.073445598
CCP,X263,Surface Feeding,1,0.005649718,0.021063718,0,1,0.441293071,0.4151681,0.136858985
WD,X1,Hole Feeding,2,0.042167031,0.026049767,0.450561209,1.569192583,0.48340529,0.720588235,0.053503629
WD,X2,Hole Feeding,1,0.010917031,0.024883359,0,1,0.308059887,0.673529412,0.044863147
WD,X3,Hole Feeding,2,0.019072695,0.027993779,0.636514168,1.889881575,0.582196704,0.766666667,0.008171434
WD,X8,Hole Feeding,1,0.006550218,0.024883359,0,1,0.308059887,0.673529412,0.008314816
WD,X10,Hole Feeding,1,0.002183406,0.024883359,0,1,0.308059887,0.673529412,0
WD,X12,Margin Feeding,3,0.118112638,0.028771384,0.73562194,2.08677944,0.642853038,0.820588235,0.046680916
WD,X13,Margin Feeding,1,0.014705882,0.021772939,0,1,0.308059887,0.1,0.311310952
WD,X14,Margin Feeding,2,0.048484459,0.027993779,0.673011667,1.960131704,0.603837951,0.5,0.14453406
WD,X15,Margin Feeding,1,0.010917031,0.024883359,0,1,0.308059887,0.673529412,0.044863147
WD,X17,Skeletonization,2,0.102183406,0.025272162,0.693147181,2,0.616119774,0.514705882,0.224338835
WD,X29,Surface Feeding,2,0.13125,0.021384137,0.693147181,2,0.616119774,0.061764706,0.469210884
WD,X30,Surface Feeding,1,0.026200873,0.024883359,0,1,0.308059887,0.673529412,0.078065906
WD,X31,Surface Feeding,3,0.630567686,0.025272162,0.463413559,1.589490554,0.48965828,0.691176471,0.12247631
WD,X34,Galling,1,0.014705882,0.021772939,0,1,0.308059887,0.1,0.311310952
WD,X46,Piercing and Sucking,10,4.129142828,0.030326594,1.793033578,6.007649527,1.850715834,0.412140903,0.379621916
WD,X47,Piercing and Sucking,3,0.034243114,0.029548989,0.950270539,2.58640929,0.796768953,0.813235294,0
WD,X48,Piercing and Sucking,7,1.643915132,0.030326594,1.539621528,4.662825186,1.4364294,0.3739819,0.288397657
WD,X56,Skeletonization,1,0.004366812,0.024883359,0,1,0.308059887,0.673529412,0
WD,X72,Oviposition,4,0.888961039,0.020217729,1.277034259,3.585988827,1.104699312,0.151470588,0.472875003
WD,X75,Surface Feeding,1,0.054585153,0.024883359,0,1,0.308059887,0.673529412,0.108545
WD,X76,Oviposition,4,0.215343328,0.029937792,0.431645874,1.539789738,0.474347453,0.775224327,0.058285362
WD,X80,Galling,4,0.061126301,0.029937792,1.386294361,4,1.232239548,0.510294118,0.065609328
WD,X82,Surface Feeding,1,0.088235294,0.021772939,0,1,0.308059887,0.1,0.47080235
WD,X96,Mining,1,0.014705882,0.021772939,0,1,0.308059887,0.1,0.311310952
WD,X97,Surface Feeding,4,1.173171397,0.026049767,0.22928458,1.257699904,0.38744689,0.694117647,0.150702825
WD,X100,Oviposition,1,0.002183406,0.024883359,0,1,0.308059887,0.673529412,0
WD,X101,Oviposition,4,0.372452158,0.028771384,0.207860524,1.231041457,0.379234492,0.713133372,0.144387815
WD,X103,Surface Feeding,4,0.503088905,0.027604977,0.446243761,1.562432281,0.481322712,0.727129817,0.090091843
WD,X106,Pathogen/Environment,6,0.753780345,0.030326594,1.524707393,4.593799195,1.41516526,0.698755656,0.104366593
WD,X130,Surface Feeding,3,0.494468705,0.025272162,0.291139839,1.337951668,0.41216924,0.692647059,0.118151023
WD,X137,Oviposition,1,0.029411765,0.021772939,0,1,0.308059887,0.1,0.351023015
WD,X138,Piercing and Sucking,4,0.323271581,0.025272162,1.351681195,3.863916068,1.190317547,0.289705882,0.31735752
WD,X175,Oviposition,1,0.012987013,0.019828927,0,1,0.308059887,0.113235294,0.291023638
WD,X232,Surface Feeding,2,0.128384279,0.025272162,0.257318641,1.293457209,0.398462282,0.688235294,0.088877817
WD,X233,Surface Feeding,1,0.144104803,0.024883359,0,1,0.308059887,0.673529412,0.161627426
WD,X245,Oviposition,3,0.103666921,0.024105754,0.950270539,2.58640929,0.796768953,0.242647059,0.283205375
WD,X281,Piercing and Sucking,1,0.05,0.017884914,0,1,0.308059887,0.029411765,0.511050068
WD,X285,Piercing and Sucking,2,0.257792208,0.020217729,0.223718076,1.250718362,0.385296157,0.142647059,0.544989812
WD,X286,Piercing and Sucking,2,0.132711039,0.021772939,0.693147181,2,0.616119774,0.160294118,0.388316961
WD,X287,Piercing and Sucking,1,0.205882353,0.021772939,0,1,0.308059887,0.1,0.585254338
